HHID  1 - 6
PN  7 - 9
LSUBHH  10 - 10
KSUBHH  11 - 11
LPN_SP  12 - 14
LCSR  15 - 15
LFAMR  16 - 16
LFINR  17 - 17
LEFTFASSIGN  18 - 18
LNURSHM  19 - 19
LPMELIG  20 - 20
LI800  21 - 21
LI802  22 - 22
LI954M1  23 - 24
LI954M2  25 - 26
LI954M3  27 - 28
LI954M4  29 - 30
LI954M5  31 - 32
LI954M6  33 - 34
LI855M1  35 - 36
LI855M2  37 - 38
LI855M3  39 - 40
LI855M4  41 - 42
LI857  43 - 50
LI859  51 - 53
LI860  54 - 56
LI861  57 - 59
LI862  60 - 67
LI864  68 - 70
LI865  71 - 73
LI866  74 - 76
LI867  77 - 84
LI869  85 - 87
LI870  88 - 90
LI871  91 - 93
LI872  94 - 94
LI873  95 - 95
LI874  96 - 96
LI875  97 - 97
LI804  98 - 98
LI805M1  99 - 100
LI805M2  101 - 102
LI805M3  103 - 104
LI805M4  105 - 106
LI805M5  107 - 108
LI807  109 - 111
LI808  112 - 114
LI809  115 - 117
LI810  118 - 118
LI811  119 - 119
LI812  120 - 120
LI813M1  121 - 122
LI813M2  123 - 124
LI813M3  125 - 126
LI813M4  127 - 128
LI815  129 - 129
LI816  130 - 135
LI851  136 - 141
LI852  142 - 147
LI853  148 - 153
LI817  154 - 154
LI818  155 - 155
LI819  156 - 156
LI876  157 - 157
LI877M1  158 - 159
LI877M2  160 - 161
LI877M3  162 - 163
LI877M4  164 - 165
LI877M5  166 - 167
LI879  168 - 171
LI880  172 - 178
LI881  179 - 179
LI883  180 - 180
LI884M1  181 - 182
LI884M2  183 - 184
LI884M3  185 - 186
LI884M4  187 - 188
LI884M5  189 - 190
LI886  191 - 194
LI887  195 - 199
LI888  200 - 200
LI889  201 - 201
LI891  202 - 202
LI893  203 - 203
LI894M1  204 - 205
LI894M2  206 - 207
LI894M3  208 - 209
LI894M4  210 - 211
LI894M5  212 - 213
LI894M6  214 - 215
LI896  216 - 219
LI897  220 - 224
LI898  225 - 225
LI899  226 - 226
LI902  227 - 227
LI820  228 - 228
LI821M1  229 - 230
LI821M2  231 - 232
LI821M3  233 - 234
LI821M4  235 - 236
LI821M5  237 - 238
LI821M6  239 - 240
LI823  241 - 248
LI824  249 - 253
LI825  254 - 258
LI828  259 - 259
LI830  260 - 260
LI831  261 - 261
LI832M1  262 - 263
LI832M2  264 - 265
LI832M3  266 - 267
LI832M4  268 - 269
LI832M5  270 - 271
LI832M6  272 - 273
LI832M7  274 - 275
LI834  276 - 280
LI835  281 - 281
LI837  282 - 282
LI903  283 - 283
LI838  284 - 284
LI839M1  285 - 286
LI839M2  287 - 288
LI839M3  289 - 290
LI839M4  291 - 292
LI839M5  293 - 294
LI841  295 - 302
LI842  303 - 303
LI844  304 - 304
LI947  305 - 305
LI904  306 - 306
LI905M1  307 - 308
LI905M2  309 - 310
LI905M3  311 - 312
LI905M4  313 - 314
LI905M5  315 - 316
LI907  317 - 324
LI908M1  325 - 326
LI908M2  327 - 328
LI908M3  329 - 330
LI908M4  331 - 332
LI908M5  333 - 334
LI910  335 - 335
LI911  336 - 336
LI912  337 - 337
LI913  338 - 338
LI941M1  339 - 340
LI941M2  341 - 342
LI941M3  343 - 344
LI941M4  345 - 346
LI941M5  347 - 348
LI941M6  349 - 350
LI914  351 - 351
LI915  352 - 352
LI916M1  353 - 354
LI916M2  355 - 356
LI916M3  357 - 358
LI916M4  359 - 360
LI918  361 - 361
LI919M1  362 - 363
LI919M2  364 - 365
LI919M3  366 - 367
LI919M4  368 - 369
LI921  370 - 370
LI922  371 - 371
LI943M1  372 - 373
LI943M2  374 - 375
LI943M3  376 - 377
LI943M4  378 - 379
LI943M5  380 - 381
LI943M6  382 - 383
LI943M7  384 - 385
LI923  386 - 386
LI924M1  387 - 388
LI924M2  389 - 390
LI926M1  391 - 392
LI926M2  393 - 394
LI926M3  395 - 396
LI926M4  397 - 398
LI928  399 - 399
LI929  400 - 400
LI945  401 - 401
LI854  402 - 402
LI930  403 - 403
LI931  404 - 404
LVDATE  405 - 405
LVERSION  406 - 406
