HHID  1 - 6
PN  7 - 9
MSUBHH  10 - 10
LSUBHH  11 - 11
MPN_SP  12 - 14
MCSR  15 - 15
MFAMR  16 - 16
MFINR  17 - 17
MD190  18 - 18
MD101  19 - 19
MD102  20 - 20
MD103  21 - 21
MD104  22 - 23
MD182M1  24 - 25
MD182M2  26 - 27
MD182M3  28 - 29
MD182M4  30 - 31
MD182M5  32 - 33
MD182M6  34 - 35
MD182M7  36 - 37
MD182M8  38 - 39
MD182M9  40 - 41
MD182M10  42 - 43
MD182M11  44 - 45
MD182M12  46 - 47
MD182M13  48 - 49
MD182M14  50 - 51
MD182M15  52 - 53
MD174  54 - 55
MD175  56 - 57
MD176  58 - 59
MD177  60 - 60
MD108M1  61 - 61
MD108M2  62 - 62
MD108M3  63 - 63
MD108M4  64 - 64
MD188  65 - 65
MD110  66 - 66
MD111  67 - 67
MD112  68 - 68
MD113  69 - 69
MD114  70 - 70
MD115  71 - 71
MD116  72 - 72
MD117  73 - 73
MD118  74 - 74
MD120  75 - 75
MD122  76 - 76
MD124  77 - 77
MD125  78 - 78
MD127  79 - 79
MD129  80 - 80
MD130  81 - 81
MD132  82 - 82
MD134  83 - 83
MD135  84 - 84
MD137  85 - 85
MD139  86 - 86
MD142  87 - 89
MD143  90 - 92
MD144  93 - 95
MD145  96 - 98
MD146  99 - 101
MD189  102 - 102
MD183M1  103 - 104
MD183M2  105 - 106
MD183M3  107 - 108
MD183M4  109 - 110
MD183M5  111 - 112
MD183M6  113 - 114
MD183M7  115 - 116
MD183M8  117 - 118
MD183M9  119 - 120
MD183M10  121 - 122
MD183M11  123 - 124
MD183M12  125 - 126
MD183M13  127 - 128
MD183M14  129 - 130
MD184  131 - 132
MD185  133 - 134
MD186  135 - 136
MD187  137 - 137
MD150  138 - 138
MD151  139 - 139
MD152  140 - 140
MD153  141 - 141
MD154  142 - 142
MD155  143 - 143
MD156  144 - 144
MD157  145 - 145
MD158  146 - 146
MD159  147 - 147
MD161  148 - 148
MD163  149 - 149
MD165  150 - 150
MD167  151 - 151
MD169  152 - 152
MD178  153 - 162
MD179  163 - 172
MD180  173 - 181
MD194  182 - 182
MD196  183 - 184
MD197  185 - 185
MD198  186 - 194
MD199  195 - 195
MD200  196 - 196
MD240  197 - 197
MD241  198 - 198
MD242  199 - 199
MD201  200 - 200
MD202  201 - 201
MD203  202 - 202
MD204  203 - 203
MD205  204 - 204
MD206  205 - 205
MD207  206 - 206
MD208  207 - 207
MD209  208 - 208
MD210  209 - 209
MD211  210 - 210
MD212  211 - 211
MD213  212 - 212
MD214  213 - 213
MD215  214 - 214
MD221  215 - 215
MD222  216 - 216
MD223  217 - 217
MD224  218 - 218
MD225  219 - 219
MD226  220 - 220
MD227  221 - 221
MD228  222 - 222
MD229  223 - 223
MD230  224 - 224
MD231  225 - 225
MD232  226 - 226
MD233  227 - 227
MD234  228 - 228
MD235  229 - 229
MNSSCORE  230 - 234
MNSSCORESE  235 - 239
MD216  240 - 240
MD217  241 - 241
MD170  242 - 243
MD172  244 - 244
MD171  245 - 245
MD501  246 - 246
MD502  247 - 247
MD505  248 - 248
MD506  249 - 249
MD507  250 - 250
MD508  251 - 251
MD509  252 - 252
MD510  253 - 253
MD511  254 - 254
MD512  255 - 255
MD513  256 - 256
MD514  257 - 257
MD515  258 - 258
MD516  259 - 259
MD517  260 - 260
MD518  261 - 261
MD519  262 - 262
MD520  263 - 263
MD521  264 - 264
MD522  265 - 265
MD523  266 - 266
MD524  267 - 267
MD525  268 - 268
MD526  269 - 269
MD527  270 - 270
MD528  271 - 271
MD529  272 - 272
MD530  273 - 273
MD531  274 - 274
MD532  275 - 275
MD533  276 - 276
MD534  277 - 277
MD535  278 - 278
MD536  279 - 279
MD537  280 - 280
MD538  281 - 281
MD539  282 - 282
MD540  283 - 283
MD541  284 - 284
MD542  285 - 285
MD543  286 - 286
MD544  287 - 287
MD545  288 - 288
MD546  289 - 289
MD547  290 - 290
MD548  291 - 291
MD549  292 - 292
MD550  293 - 293
MD551  294 - 294
MD552  295 - 295
MD553  296 - 296
MD554  297 - 297
MD555  298 - 298
MD556  299 - 299
MD557  300 - 300
MVDATE  301 - 301
MVERSION  302 - 304
