HHID  1 - 6
PN  7 - 9
BIRTHMO  10 - 11
BIRTHYR  12 - 15
DEGREE  16 - 16
EFTFASSIGN  17 - 17
FIRSTIW  18 - 21
GENDER  22 - 22
HISPANIC  23 - 23
IMMGYEAR  24 - 27
MOSFLAG  28 - 28
OVHHID  29 - 34
OVPN  35 - 37
OVRESULT  38 - 38
RACE  39 - 39
SCHLYRS  40 - 41
SECU  42 - 42
STRATUM  43 - 44
STUDY  45 - 46
USBORN  47 - 47
WTCOHORT  48 - 50
YRENTER  51 - 54
ADAMS1  55 - 56
CAMS01  57 - 58
CAMS03  59 - 60
CAMS05  61 - 62
CAMS07  63 - 64
CAMS09  65 - 66
CAMS11  67 - 68
CAMS13  69 - 70
CAMS15  71 - 72
CAMS17  73 - 74
DIAB03  75 - 76
DVSA07  77 - 78
EXDEATHMO  79 - 80
EXDEATHYR  81 - 84
EXDODSOURCE  85 - 85
DVSB07  86 - 87
GENETICS06  88 - 88
GENETICS08  89 - 89
GENETICS10  90 - 90
GENETICS12  91 - 91
HCMS11  92 - 93
HCNS13  94 - 95
HCAP_SELECT  96 - 96
HCAP16ELIG  97 - 97
HCAP16REL  98 - 99
HCAP16RESP  100 - 100
HWB09  101 - 102
HUMS01  103 - 104
INTRNT03  105 - 106
INTRNT06  107 - 108
INTRNT07  109 - 110
INTRNT09  111 - 112
INTRNT11  113 - 114
INTRNT13  115 - 116
KNOWNDECEASEDMO  117 - 118
KNOWNDECEASEDYR  119 - 122
KNOWNDECEASEDSOURCE  123 - 123
LASTALIVEMO  124 - 125
LASTALIVEYR  126 - 129
LASTALIVESOURCE  130 - 130
LHMS15  131 - 132
LHMS17SPR  133 - 134
MAIL99  135 - 136
PDS05  137 - 138
PDS07  139 - 140
PHYMSR04  141 - 142
VBS16SELECT  143 - 143
VBS16ELIG  144 - 144
VBS16CONSENT  145 - 145
VBS16COMPLETE  146 - 146
VBS16VALID  147 - 147
VBS16SUBELIG  148 - 148
VA13  149 - 150
AAGE  151 - 153
AALIVE  154 - 154
ACOUPID  155 - 160
ACOUPLE  161 - 161
AFAMR  162 - 162
AFINR  163 - 163
AINSAMP  164 - 164
AIWLANG  165 - 165
AIWMODE  166 - 166
AIWMONTH  167 - 168
AIWTYPE  169 - 170
AIWWAVE  171 - 171
AIWYEAR  172 - 175
ANEWSP  176 - 176
ANURSHM  177 - 177
APENFLAG  178 - 178
APPN  179 - 181
APROXY  182 - 182
ARESCODE  183 - 184
ASUBHH  185 - 185
ASUBHHIW  186 - 186
AWGTHH  187 - 190
AWGTR  191 - 194
AWHY0WGT  195 - 195
BAGE  196 - 198
BALIVE  199 - 199
BCOUPID  200 - 205
BCOUPLE  206 - 206
BFAMR  207 - 207
BFINR  208 - 208
BINSAMP  209 - 209
BIWLANG  210 - 210
