HHID  1 - 6
PN  7 - 9
YSUBHH  10 - 10
NSUBHH  11 - 11
YPN_SP  12 - 14
YC018  15 - 15
YC019  16 - 16
YC020  17 - 17
YC232U1  18 - 18
YC021M1  19 - 20
YC021M2  21 - 22
YC021M3  23 - 24
YC021M4  25 - 26
YC021M5  27 - 28
YC021M6  29 - 30
YC028  31 - 34
YC029  35 - 36
YC030  37 - 37
YC033  38 - 38
YC036  39 - 39
YC037  40 - 40
YC038  41 - 41
YC257  42 - 42
YC258  43 - 46
YC259  47 - 48
YC040  49 - 49
YC043  50 - 53
YC044  54 - 55
YC260  56 - 56
YC261  57 - 60
YC263  61 - 61
YC264  62 - 65
YC048  66 - 66
YC266  67 - 67
YC267  68 - 71
YC269  72 - 72
YC282  73 - 73
YC270M1  74 - 75
YC270M2  76 - 77
YC051  78 - 78
YC052  79 - 79
YC053  80 - 80
YC062  81 - 81
YC064  82 - 85
YC063  86 - 87
YC193  88 - 88
YC194  89 - 91
YC195  92 - 92
YC196  93 - 93
YC069  94 - 94
YC209M1M  95 - 96
YC209M2M  97 - 98
YC197  99 - 99
YC079  100 - 100
YC080  101 - 102
YC081  103 - 103
YC082  104 - 104
YC104  105 - 105
YC105  106 - 106
YC107  107 - 107
YC108M1M  108 - 110
YC108M2M  111 - 113
YC117  114 - 114
YC118  115 - 117
YC119  118 - 118
YC128  119 - 119
YC139  120 - 122
YC140  123 - 123
YC198  124 - 124
YC199  125 - 125
YC200  126 - 126
YC201  127 - 127
YC202  128 - 128
YC203  129 - 129
YC204  130 - 130
YC205  131 - 131
YC206  132 - 132
YC207  133 - 133
YC208  134 - 134
YVDATE  135 - 135
YVERSION  136 - 136
